CMDLINE ./a.out /MMCI/TM/scratch/ghaffari/experiments/grem/hgvg-filtered/vg/1000genomes-sv-filtered-af_ge_1/wg.vg
MEM 2515.878906 1594659035.9124
MEM 2522.582031 1594659036.0131
MEM 2538.824219 1594659036.1137
MEM 2542.691406 1594659036.2144
MEM 2546.816406 1594659036.3150
MEM 2550.941406 1594659036.4156
MEM 2555.066406 1594659036.5163
MEM 2556.871094 1594659036.6170
MEM 2564.089844 1594659036.7176
MEM 2574.917969 1594659036.8182
MEM 2586.261719 1594659036.9188
MEM 2587.035156 1594659037.0195
MEM 2587.035156 1594659037.1201
MEM 2595.285156 1594659037.2207
MEM 2604.566406 1594659037.3213
MEM 2608.433594 1594659037.4220
MEM 2612.558594 1594659037.5226
MEM 2616.425781 1594659037.6233
MEM 2620.550781 1594659037.7239
MEM 2622.355469 1594659037.8245
MEM 2629.832031 1594659037.9252
MEM 2640.144531 1594659038.0258
MEM 2621.695312 1594659038.1265
MEM 2621.703125 1594659038.2271
MEM 2622.324219 1594659038.3277
MEM 2642.949219 1594659038.4284
MEM 2662.542969 1594659038.5291
MEM 2666.410156 1594659038.6299
MEM 2718.230469 1594659038.7305
MEM 2873.101562 1594659038.8311
MEM 3041.562500 1594659038.9318
MEM 3227.472656 1594659039.0324
MEM 2998.199219 1594659039.1331
MEM 3001.550781 1594659039.2337
MEM 3005.417969 1594659039.3344
MEM 3007.996094 1594659039.4350
MEM 3015.085938 1594659039.5357
MEM 3025.085938 1594659039.6363
MEM 3037.085938 1594659039.7370
MEM 3039.808594 1594659039.8376
MEM 3039.808594 1594659039.9382
MEM 3044.125000 1594659040.0389
MEM 3058.378906 1594659040.1395
MEM 3058.378906 1594659040.2402
MEM 3061.964844 1594659040.3408
MEM 3066.089844 1594659040.4415
MEM 3069.957031 1594659040.5421
MEM 3073.308594 1594659040.6427
MEM 3075.566406 1594659040.7434
MEM 3085.566406 1594659040.8440
MEM 3097.566406 1594659040.9447
MEM 3102.027344 1594659041.0453
MEM 3102.027344 1594659041.1459
MEM 3104.027344 1594659041.2466
MEM 3116.457031 1594659041.3472
MEM 3119.292969 1594659041.4478
MEM 3121.613281 1594659041.5485
MEM 3125.738281 1594659041.6491
MEM 3129.605469 1594659041.7498
MEM 3133.214844 1594659041.8504
MEM 3133.988281 1594659041.9511
MEM 3144.300781 1594659042.0517
MEM 3155.386719 1594659042.1524
MEM 3160.480469 1594659042.2530
MEM 3160.480469 1594659042.3537
MEM 3160.480469 1594659042.4543
MEM 3171.808594 1594659042.5549
MEM 3177.222656 1594659042.6556
MEM 3177.222656 1594659042.7563
MEM 3179.027344 1594659042.8569
MEM 3182.894531 1594659042.9576
MEM 3187.019531 1594659043.0582
MEM 3188.050781 1594659043.1588
MEM 3204.550781 1594659043.2594
MEM 3204.550781 1594659043.3601
MEM 3204.550781 1594659043.4607
MEM 3213.574219 1594659043.5614
MEM 3213.574219 1594659043.6621
MEM 3213.574219 1594659043.7627
MEM 3214.347656 1594659043.8633
MEM 3215.378906 1594659043.9640
MEM 3217.183594 1594659044.0646
MEM 3218.730469 1594659044.1653
MEM 3222.339844 1594659044.2659
MEM 3223.113281 1594659044.3666
MEM 3228.527344 1594659044.4673
MEM 3235.230469 1594659044.5679
MEM 3242.703125 1594659044.6685
MEM 3243.992188 1594659044.7692
MEM 3247.859375 1594659044.8699
MEM 3251.210938 1594659044.9705
MEM 3261.781250 1594659045.0712
MEM 3273.125000 1594659045.1718
MEM 3276.218750 1594659045.2724
MEM 3277.250000 1594659045.3731
MEM 3297.617188 1594659045.4737
MEM 3307.671875 1594659045.5744
MEM 3311.539062 1594659045.6750
MEM 3315.664062 1594659045.7756
MEM 3319.531250 1594659045.8763
MEM 3323.398438 1594659045.9769
MEM 3327.265625 1594659046.0775
MEM 3337.835938 1594659046.1781
MEM 3348.406250 1594659046.2788
MEM 3356.101562 1594659046.3794
MEM 3356.101562 1594659046.4800
MEM 3358.558594 1594659046.5807
MEM 3371.449219 1594659046.6813
MEM 3374.542969 1594659046.7820
MEM 3378.410156 1594659046.8826
MEM 3382.277344 1594659046.9833
MEM 3386.402344 1594659047.0839
MEM 3389.496094 1594659047.1845
MEM 3392.589844 1594659047.2851
MEM 3403.417969 1594659047.3858
MEM 3414.761719 1594659047.4864
MEM 3387.691406 1594659047.5871
MEM 3387.691406 1594659047.6877
